,lon,lat,alt,x,y,Fairway,Green,club,dist,angle,mean
6,-84.22777777777777,34.08017573696145,316.118774414,0.0,81.17346938729497,1.0,0.0,9 Iron,96.04385434767191,4.198664481667015,5.425797743631284
7,-84.22777777777777,34.080158730158736,316.478759766,0.0,79.28571428598019,1.0,0.0,9 Iron,144.93372839865052,0.9011120782938282,4.102801525496736
8,-84.22777777777777,34.080141723356014,316.818756104,0.0,77.39795918387671,1.0,0.0,9 Iron,182.0888515600692,5.974095254169805,4.676518725462145
9,-84.22777777777777,34.08012471655329,317.012390137,0.0,75.51020408177322,1.0,0.0,9 Iron,259.52004155999333,5.376854404626194,5.621582271093376
10,-84.22777777777777,34.08010770975057,317.012390137,0.0,73.62244897966974,1.0,0.0,9 Iron,223.4393882311339,4.005152231377417,3.2493642896009476
11,-84.22777777777777,34.08009070294785,316.992401123,0.0,71.73469387756626,1.0,0.0,9 Iron,122.9935950785977,5.8439381275642175,3.3321187092472417
12,-84.22777777777777,34.08007369614513,316.972381592,0.0,69.84693877546277,1.0,0.0,9 Iron,106.68479626872723,3.300737917835731,3.489780024385995
13,-84.22777777777777,34.080056689342406,316.786102295,0.0,67.95918367335929,1.0,0.0,9 Iron,197.1588106940739,2.564026897925341,3.468998964560702
14,-84.22777777777777,34.080039682539685,316.566101074,0.0,66.07142857125581,1.0,0.0,9 Iron,91.78953282248423,6.10164067180026,5.941185161780167
15,-84.22777777777777,34.08002267573696,316.406097412,0.0,64.18367346915232,1.0,0.0,9 Iron,162.60085716927293,5.6069999649598605,2.1529915576962035
16,-84.22777777777777,34.08000566893424,316.286102295,0.0,62.29591836704884,1.0,0.0,9 Iron,86.33363301113515,2.9373684050267217,2.1660147915284993
17,-84.22777777777777,34.07998866213152,316.197509766,0.0,60.40816326494536,1.0,0.0,9 Iron,261.0245916550492,4.590178982130058,3.8269405798961156
18,-84.22777777777777,34.0799716553288,316.137512207,0.0,58.520408162841875,1.0,0.0,9 Iron,72.3387936591667,2.6824105512336502,4.379910036695283
19,-84.22777777777777,34.07995464852608,316.037506104,0.0,56.632653061527094,1.0,0.0,9 Iron,135.75011859614793,5.6015359071154185,5.379768821950536
20,-84.22777777777777,34.07993764172336,315.957519531,0.0,54.74489795942361,1.0,0.0,9 Iron,218.5060436919882,5.8803857760102325,2.546723130731359
21,-84.22777777777777,34.07992063492064,315.917510986,0.0,52.85714285732013,1.0,0.0,9 Iron,275.29812456428044,0.40498596833535033,2.165855843617372
22,-84.22777777777777,34.07990362811792,315.815643311,0.0,50.969387755216644,1.0,0.0,9 Iron,72.07720669710555,5.301357177380377,4.480026681922045
23,-84.22777777777777,34.0798866213152,315.675628662,0.0,49.08163265311316,1.0,0.0,9 Iron,78.18585893464221,1.506365425627427,1.3823055871085557
24,-84.22777777777777,34.079869614512475,315.515625,0.0,47.19387755100968,1.0,0.0,9 Iron,275.57639868876726,4.877971540719953,5.307935204684536
25,-84.22777777777777,34.07985260770975,315.335632324,0.0,45.306122448906194,1.0,0.0,9 Iron,152.05892458081016,6.141956233908519,1.4894107609905558
26,-84.22777777777777,34.07983560090703,315.114318848,0.0,43.41836734680271,1.0,0.0,9 Iron,233.32775867894756,2.774585152236199,4.525358403899698
54,-84.22763265306122,34.080209750566894,316.029693604,13.342267918456155,84.94897959150194,1.0,0.0,9 Iron,283.86868492398156,1.97265822881866,5.12451940444177
55,-84.22763265306122,34.08019274376417,316.044616699,13.342267918456155,83.06122448939846,1.0,0.0,9 Iron,240.37076124658802,3.0261120193522735,3.2940606021057275
56,-84.22763265306122,34.08017573696145,316.044616699,13.342267918456155,81.17346938729497,1.0,0.0,9 Iron,196.03738304501866,4.546760334456987,1.9537382639556724
